Date, Open, High, Low, Close, Volume,Company
02/25/2022,130.5,130.5,130.5,130.5,100,WTK
02/24/2022,130.5,130.5,130.5,130.5,900,WTK
02/23/2022,136,136,130.5,134.25,300,WTK
02/17/2022,133,137,133,136,1200,WTK
02/15/2022,132,132,125,129,1400,WTK
02/14/2022,131,131,131,131,200,WTK
02/11/2022,133,133,133,133,100,WTK
02/10/2022,134,134,134,134,100,WTK
02/09/2022,135,135,135,135,200,WTK
02/08/2022,131,131,130,130,27100,WTK
02/07/2022,135,135,135,135,2500,WTK
02/03/2022,136,136,129,130.25,6600,WTK
01/28/2022,135,135,135,135,300,WTK
01/27/2022,132,132,130,130.25,1500,WTK
01/26/2022,137,137,137,137,200,WTK
01/24/2022,130,130,130,130,1000,WTK
01/21/2022,135,135,135,135,300,WTK
01/19/2022,130,130,130,130,5800,WTK
01/18/2022,130.25,130.25,130,130,1600,WTK
01/17/2022,130.25,130.25,130.25,130.25,700,WTK
01/13/2022,130,130,130,130,1800,WTK
01/12/2022,130.5,130.5,130,130.25,1300,WTK
01/11/2022,130.5,137,130.5,134.75,300,WTK
01/10/2022,131.25,132,131.25,132,3600,WTK
01/07/2022,132,132,132,132,100,WTK
01/05/2022,135,135,130,130.75,1900,WTK
01/03/2022,132,132,132,132,15000,WTK
12/28/2021,130,130,130,130,100,WTK
12/24/2021,130.25,130.25,130.25,130.25,15000,WTK
12/23/2021,135,135,135,135,100,WTK
12/22/2021,138.5,138.5,138.5,138.5,100,WTK
12/21/2021,129,129,129,129,700,WTK
12/20/2021,138.5,138.5,138.5,138.5,600,WTK
12/07/2021,126,126,126,126,100,WTK
12/06/2021,129.25,129.25,126,127,400,WTK
12/02/2021,130,130,129,129.25,1000,WTK
12/01/2021,128,130,128,129,200,WTK
11/30/2021,131.25,131.25,130,130.25,700,WTK
11/26/2021,131,131,130,131,2400,WTK
11/24/2021,134,134,131,131.75,1300,WTK
11/23/2021,132,132,130,130.5,400,WTK
11/19/2021,134,134,134,134,1000,WTK
11/18/2021,137.5,137.5,137.5,137.5,100,WTK
11/16/2021,132.5,138,131,133.75,1600,WTK
11/15/2021,134,134,131,132,1200,WTK
11/12/2021,134,134,134,134,100,WTK
11/11/2021,134,134,134,134,300,WTK
11/09/2021,134,134,134,134,200,WTK
11/08/2021,138,138,138,138,400,WTK
11/04/2021,138,138,138,138,200,WTK
11/03/2021,138,138,138,138,200,WTK
11/02/2021,138,138,138,138,200,WTK
10/29/2021,138,138,138,138,100,WTK
10/28/2021,140,140,140,140,500,WTK
10/27/2021,132,132,132,132,100,WTK
10/22/2021,131,131,129,130.75,1800,WTK
10/21/2021,131,131,131,131,1800,WTK
10/15/2021,134,134,130,130.75,1500,WTK
10/14/2021,135,135,134,134.5,700,WTK
10/13/2021,135,135,135,135,300,WTK
10/12/2021,135,135,135,135,200,WTK
10/08/2021,137.75,137.75,135,135,7100,WTK
10/07/2021,135,140,135,137.5,200,WTK
10/06/2021,135,135,135,135,500,WTK
10/05/2021,139,140,139,139.5,4700,WTK
10/04/2021,140,140,139,139.25,800,WTK
10/01/2021,140,140,140,140,100,WTK
09/30/2021,139,139,139,139,300,WTK
09/28/2021,140,140,139,139.25,1400,WTK
09/27/2021,140,140,140,140,200,WTK
09/23/2021,138,138,138,138,400,WTK
09/21/2021,134,134,134,134,100,WTK
09/16/2021,140,140,140,140,100,WTK
09/14/2021,140,140,140,140,300,WTK
09/13/2021,139,142,139,141.25,600,WTK
09/09/2021,134,134,134,134,100,WTK
09/07/2021,144.5,144.5,140,142.25,200,WTK
09/06/2021,145,145,135.5,142.25,1400,WTK
09/02/2021,135,135,135,135,200,WTK
09/01/2021,135,135,135,135,300,WTK
08/30/2021,137,137,137,137,1000,WTK
08/25/2021,132.5,136,132.5,133.5,400,WTK
08/24/2021,133,133,132.5,132.75,200,WTK
08/23/2021,131.25,135.75,131.25,132.5,400,WTK
08/18/2021,131,131,131,131,200,WTK
08/17/2021,135,135,135,135,400,WTK
08/16/2021,131,131,131,131,100,WTK
08/13/2021,136,136,130,130.75,4500,WTK
08/12/2021,137,137,137,137,1000,WTK
08/10/2021,134.5,135,134.5,134.75,3500,WTK
08/09/2021,134.5,134.5,134.5,134.5,300,WTK
08/06/2021,134.5,134.5,134.5,134.5,1200,WTK
08/05/2021,134.5,134.5,134.5,134.5,700,WTK
08/04/2021,135,135,135,135,6800,WTK
08/03/2021,135,135,133,134.5,5800,WTK
08/02/2021,130,130,130,130,100,WTK
07/30/2021,135,135,133,133.25,3200,WTK
07/29/2021,135,135,135,135,100,WTK
07/27/2021,134,134,134,134,200,WTK
07/26/2021,137,137,134,135,300,WTK
07/22/2021,139,139,137,138.5,1000,WTK
07/21/2021,148,150,138.5,143.5,1000,WTK
07/16/2021,152.25,152.25,152.25,152.25,4000,WTK
07/15/2021,139,140,139,139.25,6600,WTK
07/12/2021,138.5,138.5,138.5,138.5,100,WTK
07/09/2021,137.5,137.5,136,137.5,1300,WTK
07/08/2021,140,140,137.5,138.25,9000,WTK
07/07/2021,148.75,148.75,140,140.75,4000,WTK
07/06/2021,144.5,149,144.5,147.25,1300,WTK
07/02/2021,145,154.75,143,149,1300,WTK
06/29/2021,147.75,149,138.25,145.75,7100,WTK
06/28/2021,145,148,145,147.5,2700,WTK
06/25/2021,147,149,147,147.75,2800,WTK
06/24/2021,147,147,147,147,200,WTK
06/21/2021,135,135,133,134,200,WTK
06/17/2021,135,145,132.5,135.25,1500,WTK
06/16/2021,146,146,145,145.75,1100,WTK
06/15/2021,146,146,146,146,400,WTK
06/11/2021,144,146,144,145.75,1600,WTK
06/10/2021,147,147,145,146,1400,WTK
06/09/2021,146,149,144,147,800,WTK
06/08/2021,140,140,140,140,1200,WTK
06/04/2021,142.75,142.75,135,135.75,1000,WTK
06/03/2021,145,145,144,144.25,1400,WTK
06/02/2021,150,150,150,150,200,WTK
05/31/2021,140,145,140,142.25,700,WTK
05/28/2021,140,140,140,140,1400,WTK
05/27/2021,140,141,140,140,8100,WTK
05/26/2021,145,145,140,140.75,4200,WTK
05/25/2021,145,145,145,145,200,WTK
05/24/2021,146,146,145,145,1800,WTK
05/19/2021,145,145,145,145,5000,WTK
05/18/2021,149,149,145.25,148.5,1400,WTK
05/17/2021,147,147,147,147,700,WTK
05/13/2021,148,148,145,146.75,1000,WTK
05/12/2021,149,149,148,148.75,300,WTK
05/11/2021,149,149,149,149,100,WTK
05/07/2021,149,149,149,149,1300,WTK
05/06/2021,149.5,149.5,149,149.5,1200,WTK
05/04/2021,149.75,149.75,149.75,149.75,100,WTK
04/30/2021,149.75,149.75,149.75,149.75,400,WTK
04/29/2021,145,150,145,149.25,2700,WTK
04/28/2021,145,148,145,147,300,WTK
04/27/2021,145,145,145,145,4700,WTK
04/26/2021,145,145,145,145,200,WTK
